0	g	0	0	0	0	0.797	0.183	0.780	0.597	0.446	0.100	0.459	0.334	0.143	0.651	0.056	0.722	0.939	0.001	0.992	0.617
1	m	0	0	0	0	0.525	0.432	0.291	0.612	0.139	0.292	0.366	0.456	0.785	0.200	0.514	0.592	0.046	0.608	0.171	0.065
2	n	0	0	0	0	0.942	0.563	0.385	0.016	0.231	0.241	0.683	0.610	0.833	0.173	0.391	0.182	0.755	0.425	0.208	0.568
3	d	0	0	0	0	0.970	0.775	0.939	0.895	0.598	0.922	0.088	0.196	0.045	0.325	0.389	0.271	0.829	0.357	0.281	0.543
4	o	0	0	0	0	0.296	0.165	0.016	0.423	0.395	0.293	0.014	0.199	0.711	0.790	0.606	0.926	0.651	0.915	0.850	0.449
5	o	0	0	0	0	0.064	0.311	0.325	0.730	0.638	0.887	0.472	0.120	0.713	0.761	0.561	0.771	0.494	0.523	0.428	0.025
6	d	0	0	0	0	0.202	0.896	0.475	0.563	0.696	0.139	0.604	0.540	0.203	0.943	0.599	0.695	0.880	0.624	0.296	0.105
7	n	0	0	0	0	0.804	0.187	0.893	0.539	0.807	0.896	0.318	0.110	0.228	0.427	0.818	0.861	0.007	0.511	0.417	0.222
8	a	0	0	0	0	0.269	0.244	0.168	0.219	0.558	0.404	0.065	0.254	0.247	0.696	0.712	0.148	0.998	0.267	0.977	0.411
9	g	0	0	0	0	0.279	0.908	0.240	0.145	0.489	0.986	0.242	0.672	0.762	0.238	0.728	0.368	0.632	0.634	0.536	0.090
10	o	0	0	0	0	0.151	0.508	0.696	0.858	0.326	0.220	0.711	0.810	0.349	0.096	0.941	0.398	0.518	0.838	0.676	0.735
11	m	0	0	0	0	0.925	0.877	0.258	0.660	0.817	0.555	0.530	0.242	0.093	0.897	0.900	0.633	0.339	0.349	0.726	0.897
12	i	0	0	0	0	0.780	0.642	0.084	0.162	0.899	0.606	0.009	0.101	0.664	0.005	0.161	0.549	0.692	0.652	0.224	0.712
13	o	0	0	0	0	0.494	0.179	0.366	0.744	0.721	0.308	0.543	0.509	0.636	0.250	0.590	0.979	0.487	0.906	0.434	0.350
14	o	0	0	0	0	0.577	0.493	0.195	0.722	0.281	0.024	0.645	0.177	0.940	0.954	0.915	0.370	0.015	0.928	0.428	0.967
15	a	0	0	0	0	0.980	0.075	0.306	0.191	0.268	0.485	0.373	0.395	0.844	0.930	0.070	0.209	0.671	0.359	0.254	0.295
16	m	0	0	0	0	0.741	0.697	0.702	0.359	0.294	0.809	0.810	0.867	0.913	0.511	0.502	0.798	0.650	0.702	0.796	0.890
17	g	0	0	0	0	0.028	0.579	0.438	0.672	0.328	0.155	0.982	0.839	0.860	0.250	0.039	0.303	0.537	0.327	0.828	0.272
18	n	0	0	0	0	0.623	0.085	0.052	0.531	0.541	0.637	0.726	0.976	0.516	0.323	0.795	0.271	0.439	0.078	0.025	0.963
19	g	0	0	0	0	0.428	0.688	0.058	0.915	0.442	0.240	0.094	0.183	0.935	0.638	0.517	0.657	0.436	0.730	0.048	0.566
20	a	0	0	0	0	0.758	0.014	0.116	0.046	0.041	0.855	0.704	0.474	0.098	0.492	0.473	0.173	0.434	0.399	0.616	0.635
21	m	0	0	0	0	0.261	0.015	0.933	0.501	0.539	0.684	0.616	0.944	0.944	0.867	0.636	0.801	0.677	0.573	0.129	0.811
22	a	0	0	0	0	0.941	0.386	0.961	0.905	0.196	0.069	0.101	0.018	0.094	0.683	0.071	0.319	0.845	0.023	0.814	0.282
23	n	0	0	0	0	0.693	0.348	0.937	0.039	0.418	0.968	0.548	0.423	0.569	0.576	0.732	0.128	0.250	0.581	0.867	0.562
24	n	0	0	0	0	0.429	0.751	0.755	0.103	0.903	0.505	0.826	0.320	0.896	0.389	0.011	0.905	0.091	0.319	0.950	0.951
25	a	0	0	0	0	0.493	0.083	0.092	0.602	0.554	0.213	0.946	0.781	0.113	0.931	0.974	0.996	0.056	0.737	0.546	0.706
26	g	0	0	0	0	0.143	0.762	0.618	0.101	0.084	0.701	0.073	0.822	0.706	0.081	0.085	0.987	0.374	0.371	0.813	0.947
27	o	0	0	0	0	0.592	0.350	0.708	0.482	0.378	0.705	0.249	0.330	0.434	0.254	0.405	0.571	0.741	0.767	0.823	0.744
28	a	0	0	0	0	0.583	0.962	0.375	0.286	0.869	0.224	0.963	0.012	0.970	0.043	0.891	0.528	0.993	0.074	0.554	0.969
29	m	0	0	0	0	0.166	0.217	0.294	0.996	0.697	0.384	0.737	0.915	0.959	0.058	0.395	0.107	0.336	0.170	0.647	0.388
30	n	0	0	0	0	0.584	0.078	0.974	0.986	0.698	0.536	0.310	0.814	0.685	0.163	0.911	0.823	0.950	0.726	0.613	0.418
31	i	0	0	0	0	0.866	0.045	0.026	0.376	0.811	0.987	0.150	0.594	0.381	0.970	0.842	0.838	0.469	0.415	0.273	0.056
32	i	0	0	0	0	0.692	0.534	0.750	0.913	0.585	0.726	0.757	0.378	0.241	0.205	0.251	0.275	0.207	0.878	0.757	0.047
33	g	0	0	0	0	0.114	0.672	0.520	0.772	0.520	0.852	0.552	0.561	0.877	0.403	0.134	0.029	0.755	0.620	0.704	0.213
34	i	0	0	0	0	0.617	0.980	0.608	0.637	0.555	0.091	0.726	0.547	0.451	0.910	0.298	0.524	0.698	0.796	0.459	0.842
35	o	0	0	0	0	0.258	0.459	0.980	0.493	0.329	0.633	0.240	0.076	0.129	0.128	0.152	0.139	0.641	0.182	0.346	0.897
36	a	0	0	0	0	0.515	0.973	0.602	0.224	0.822	0.345	0.348	0.032	0.549	0.534	0.356	0.894	0.129	0.330	0.322	0.092
37	g	0	0	0	0	0.628	0.082	0.874	0.921	0.061	0.277	0.806	0.748	0.185	0.209	0.370	0.485	0.618	0.369	0.463	0.747
38	i	0	0	0	0	0.148	0.133	0.687	0.844	0.750	0.030	0.867	0.354	0.397	0.105	0.737	0.182	0.564	0.841	0.089	0.535
39	o	0	0	0	0	0.891	0.594	0.679	0.789	0.498	0.087	0.537	0.587	0.745	0.432	0.128	0.284	0.363	0.646	0.571	0.356
40	d	0	0	0	0	0.330	0.934	0.008	0.225	0.365	0.488	0.851	0.088	0.806	0.056	0.842	0.052	0.018	0.697	0.997	0.897
41	n	0	0	0	0	0.969	0.866	0.817	0.258	0.171	0.669	0.929	0.557	0.572	0.280	0.769	0.187	0.324	0.425	0.508	0.242
42	g	0	0	0	0	0.707	0.768	0.087	0.506	0.932	0.321	0.594	0.369	0.454	0.549	0.549	0.202	0.685	0.088	0.139	0.003
43	o	0	0	0	0	0.596	0.472	0.412	0.349	0.930	0.831	0.965	0.124	0.731	0.938	0.181	0.066	0.741	0.574	0.842	0.140
44	o	0	0	0	0	0.751	0.800	0.825	0.186	0.236	0.634	0.908	0.316	0.588	0.683	0.452	0.714	0.900	0.624	0.540	0.439
45	o	0	0	0	0	0.232	0.900	0.384	0.544	0.906	0.624	0.117	0.940	0.628	0.335	0.139	0.794	0.620	0.533	0.894	0.789
46	i	0	0	0	0	0.752	0.707	0.779	0.143	0.205	0.714	0.494	0.755	0.103	0.536	0.379	0.457	0.604	0.502	0.540	0.486
47	n	0	0	0	0	0.722	0.720	0.641	0.694	0.543	0.252	0.346	0.182	0.908	0.583	0.401	0.462	0.947	0.153	0.586	0.506
48	o	0	0	0	0	0.256	0.726	0.593	0.102	0.919	0.790	0.023	0.651	0.771	0.374	0.069	0.077	0.104	0.840	0.911	0.123
49	d	0	0	0	0	0.985	0.839	0.125	0.921	0.870	0.519	0.591	0.399	0.055	0.335	0.803	0.005	0.333	0.398	0.537	0.920
50	m	0	0	0	0	0.466	0.481	0.918	0.587	0.033	0.913	0.248	0.578	0.166	0.034	0.311	0.780	0.278	0.220	0.213	0.515
51	o	0	0	0	0	0.961	0.149	0.415	0.085	0.997	0.502	0.595	0.067	0.750	0.210	0.898	0.205	0.191	0.037	0.472	0.565
52	m	0	0	0	0	0.294	0.714	0.528	0.534	0.481	0.497	0.765	0.103	0.334	0.076	0.753	0.272	0.897	0.527	0.801	0.979
53	m	0	0	0	0	0.867	0.408	0.552	0.254	0.196	0.506	0.595	0.339	0.569	0.887	0.557	0.721	0.805	0.989	0.603	0.807
54	n	0	0	0	0	0.944	0.141	0.406	0.324	0.087	0.633	0.736	0.848	0.123	0.876	0.643	0.704	0.911	0.625	0.336	0.825
