0	m	0	0	0	0	0.901328	0.097374	0.111109	0.878498	0.926141	0.882672	0.921456	0.139802	0.873270	0.061392	0.123818	0.833945	0.955583	0.100548	0.094262	0.927301
1	n	0	0	0	0	0.908153	0.046875	0.094215	0.930378	0.949783	0.019248	0.112685	0.855137	0.871668	0.142292	0.137312	0.866092	0.892108	0.073196	0.244585	0.913918
2	m	0	0	0	0	0.961352	0.020970	0.162228	1.000000	0.833956	0.938570	0.900055	0.022778	0.924644	0.141680	0.069944	0.958296	0.816662	0.025262	0.106830	0.901269
3	m	0	0	0	0	0.897549	0.127558	0.056425	0.911452	0.901110	1.000000	0.904993	0.157847	0.941497	0.042172	0.022559	0.912351	0.962867	0.114396	0.103943	0.885796
4	g	0	0	0	0	0.100125	0.990453	0.894566	0.081086	0.841760	0.107001	0.114648	0.839921	0.922658	0.111659	0.950672	0.960618	0.104714	0.848182	0.858469	0.188106
5	m	0	0	0	0	0.919494	0.158406	0.133058	0.895857	0.876243	0.958676	0.938220	0.056274	0.854787	0.072726	0.066312	0.951492	0.921787	0.127889	0.109583	0.911939
6	i	0	0	0	0	0.852897	0.872600	0.889292	0.941858	0.083942	0.820719	0.157003	0.858145	0.097064	0.922327	0.109981	0.954709	0.923950	0.856935	1.000000	0.909717
7	n	0	0	0	0	0.885738	0.046163	0.109459	0.852348	0.901719	0.071123	0.147254	0.906837	0.840575	0.070148	0.135247	0.964355	0.897736	0.047780	0.152702	0.935028
8	m	0	0	0	0	0.929432	0.136417	0.141385	0.948462	0.886056	1.000000	0.882262	0.105467	0.964791	0.128321	0.000000	0.900282	0.943098	0.032826	0.137535	0.919508
9	g	0	0	0	0	0.067522	0.926438	0.900429	0.116544	0.901953	0.137309	0.048924	0.854334	0.973226	0.205018	0.899729	0.985763	0.061411	0.873421	0.972874	0.140205
10	d	0	0	0	0	0.128823	0.824572	0.909249	0.122638	0.985366	0.061459	0.036082	0.855229	0.833172	0.166833	0.177432	0.916011	0.161065	0.906698	0.895244	0.083348
11	n	0	0	0	0	0.930220	0.018594	0.060335	0.921642	0.874966	0.107858	0.039315	0.882577	0.908169	0.052426	0.184318	0.868129	0.968921	0.091610	0.021576	0.843155
12	g	0	0	0	0	0.135312	0.911400	0.931229	0.044948	0.909005	0.063434	0.125499	0.863682	0.882761	0.006401	0.841338	0.917744	0.056558	0.953189	0.852306	0.122663
13	o	0	0	0	0	0.235423	0.940394	0.912220	0.104494	0.960117	0.203779	0.134254	0.906060	0.973632	0.107118	0.121766	0.950051	0.080676	0.796208	0.878246	0.138650
14	d	0	0	0	0	0.154495	0.871441	0.902191	0.147790	0.875787	0.097704	0.099172	0.934166	0.929537	0.088994	0.103182	0.881411	0.026119	0.912880	0.994610	0.055814
15	n	0	0	0	0	0.878219	0.081705	0.121508	0.942302	0.870325	0.059674	0.089309	0.969681	0.839156	0.157124	0.102114	0.817363	0.876918	0.130483	0.190091	0.833631
16	m	0	0	0	0	0.825879	0.081203	0.016203	0.905421	0.803030	0.944501	0.834268	0.011371	0.881819	0.185555	0.135560	0.803884	0.832844	0.080220	0.211918	0.853052
17	i	0	0	0	0	0.894711	0.961928	0.827406	0.875515	0.068134	0.919902	0.144792	0.923574	0.124366	0.881945	0.116038	0.858008	0.933707	0.874970	0.843925	0.901891
18	m	0	0	0	0	0.828458	0.076172	0.085059	0.882088	0.872387	0.845143	1.000000	0.193373	0.841897	0.179106	0.080027	0.906459	0.896836	0.067013	0.149193	0.906294
19	g	0	0	0	0	0.187613	0.897792	0.927978	0.092693	1.000000	0.065720	0.072501	0.939827	0.910374	0.078792	0.948019	0.897943	0.097590	0.911529	0.813294	0.020337
20	o	0	0	0	0	0.063762	0.856232	0.877175	0.164222	0.952192	0.098933	0.150989	0.781565	0.939583	0.044062	0.188351	0.846788	0.057362	0.928121	0.932948	0.077683
21	a	0	0	0	0	0.061540	0.912208	0.913242	0.076494	0.896868	0.073604	0.084463	0.859557	0.904205	0.869973	0.841697	0.929671	0.931365	0.155585	0.048780	0.875954
22	m	0	0	0	0	0.869981	0.106983	0.103667	0.948438	0.948359	0.924699	0.881883	0.137091	0.895402	0.045904	0.079836	0.904226	0.945511	0.090824	0.039540	0.902837
23	o	0	0	0	0	0.085896	0.897388	0.941553	0.068708	0.969558	0.131654	0.007119	0.874232	0.798783	0.090166	0.075084	0.941743	0.055949	0.919387	0.928442	0.112860
24	a	0	0	0	0	0.063856	0.882535	0.856472	0.066009	0.944046	0.095183	0.115335	0.872464	0.869182	0.914278	0.906303	0.938899	0.965080	0.065429	0.143059	0.846010
25	a	0	0	0	0	0.108052	0.879340	0.883624	0.155520	0.776574	0.127738	0.147273	0.868900	0.946888	0.852049	0.867001	0.861242	0.947565	0.012753	0.182007	0.884753
26	m	0	0	0	0	0.874158	0.130952	0.169602	0.905556	0.965910	0.832091	0.877837	0.085571	0.894272	0.104205	0.134546	0.877760	0.906951	0.097744	0.053706	0.894317
27	g	0	0	0	0	0.089151	0.812641	0.874824	0.187140	0.917003	0.068022	0.112533	0.933832	0.868047	0.161769	0.924785	0.845005	0.142818	0.879519	0.891043	0.049202
28	g	0	0	0	0	0.099333	0.882865	0.870017	0.001798	0.813356	0.195056	0.178680	0.871211	0.945400	0.125321	0.931214	0.828741	0.009591	0.959130	0.801035	0.092590
29	o	0	0	0	0	0.136381	0.942304	0.893672	0.147769	0.776689	0.144614	0.078655	0.927669	0.867534	0.033665	0.116985	0.824923	0.080016	0.859379	0.891248	0.139860
30	n	0	0	0	0	1.000000	0.028079	0.074241	0.893674	0.921973	0.163398	0.098780	0.828889	0.942126	0.137748	0.002907	0.899810	0.820493	0.066767	0.054860	0.940463
31	i	0	0	0	0	0.808322	0.913024	0.856053	0.914828	0.035453	0.946151	0.136881	0.864706	0.117982	0.904146	0.174115	0.848376	0.892385	0.867966	0.902241	0.926664
32	m	0	0	0	0	0.888759	0.149934	0.077327	0.895247	0.989263	0.921876	0.882758	0.065832	0.870406	0.162078	0.138275	0.842566	0.904359	0.096659	0.115805	0.869821
33	a	0	0	0	0	0.059280	0.975042	0.967640	0.076671	0.868566	0.000000	0.025921	0.833027	0.906760	0.883688	0.832733	0.885942	0.925267	0.126392	0.005016	0.893587
34	n	0	0	0	0	0.882318	0.085407	0.066459	0.841944	0.900625	0.113040	0.069491	0.845461	0.920528	0.061634	0.084540	0.878196	0.962285	0.063928	0.186276	0.937615
35	a	0	0	0	0	0.170459	0.875629	0.931608	0.095418	0.953105	0.095409	0.060565	0.968670	0.915890	0.866824	0.875064	0.866504	0.849913	0.076124	0.118651	0.903203
36	g	0	0	0	0	0.135157	1.000000	0.888600	0.029651	0.920113	0.166050	0.105401	0.854668	0.947900	0.133177	0.848696	0.919071	0.149863	0.959095	0.896678	0.082096
37	i	0	0	0	0	0.846907	0.969861	0.886050	0.905096	0.164574	0.875745	0.131551	0.944230	0.067459	0.861928	0.088570	0.890134	0.846053	0.867920	0.726655	0.883286
38	n	0	0	0	0	0.965270	0.021025	0.048072	0.964621	0.929500	0.227020	0.103418	0.985021	0.807126	0.029324	0.144776	0.812982	0.890132	0.158360	0.125059	0.900555
39	m	0	0	0	0	0.892991	0.104904	0.162683	0.903890	0.851203	0.933108	0.899137	0.079897	0.819270	0.104259	0.111441	0.850193	0.937218	0.132740	0.102446	0.900586
40	m	0	0	0	0	0.904122	0.081534	0.021028	0.859105	0.919560	0.929089	0.899189	0.157842	0.919870	0.062627	0.085975	0.829857	0.894593	0.155605	0.134265	0.970100
